Abbreviation,abvn
Officer,offr
Officer Efficiency Index,OEI
Officer Evaluation Report,OER
Officers Evaluation Report,OER
Officer Supervisor,OS
Offensive Support,OS
Ordanance Services,OS
Outstanding,OS
Officiating,offg
One Time Process,OTP
One Time Pad,OTP
Operate,op
Operated,op
Operation,op
Operational,op
Operator,op
Operation Order,OO
Operations Other Than War,OOTW
Opposition,oppn
Order Group,O gp
Order of Battle,orbat
Order of March,OOM
Ordnance,ord
Ordnance Aviation Depot,OAD
Ordnance Depot,ordep
Ordnance Services,OS
Officer Supervisor,OS
Offensive Support,OS
Outstanding,OS
Organisation and Methods,O&M
Organise,org
Organised,org
Organisation,org
Ounce,oz
Out of Action,OA
Outstanding,OS
Officer Supervisor,OS
Offensive Support,OS
Ordnance Services,OS
Overhead Cover,OHC
Overhead Protection,OHP
Overstay Leave,OSL
Packing Material,PM
Pakistan Air Force,PAF
Pakistan Army Act,PAA
Pakistan Army Identity Card,PAID Card
Pakistan Army Order,PAO
Pro Active Operations,PAO
Pakistan Army Rifle Association,PARA
Pakistan Army Tactical Communication System,PATCOMS
Pakistan Army Technical Liaison Officer,PATLO
Pakistan Military Academy,PMA
Pakistan Navy,PN
Pakistan Railways,PR
Pakistan Rangers,PR
Paper Under Consideration,PUC
Parachute,para
Paragraph,para
Passive Air Defence,PAD
Passive Air Defence Measures,PADM
Patrol,ptl
Patrolled,ptl
Patrolling,ptl
Pay and Allowances,P&A
Peacekeeping Operation,PKO
Per day,pd
Period,pd
Penetrate,pen
Penetrated,pen
Penetration,pen
Per month,Pm
Personal Computer,PC
Post Commander,PC
Periodical Intelligence Report,perintrep
Personnel,pers
Petrol Point,PP
Petroleum,pet
Petroleum,POL
Petroleum Refilling Point,PRP
Phase,Ph
Phased,Ph
Phasing,Ph
Phase Line,PL
Photograph,photo
Photographer,photo
Photographic,photo
Photography,photo
Photographic Reconnaissance,ph R
Physical Efficiency Test,PET
Physical Training,PT
Physically,Phy
Pick Up Point,PUP
Pull Up Point,PUP
Picquet,pqt
Picqueted,pqt
Pioneer,pnr
Platoon,pl
Please,pl
Point,pt
Points Before,pts B
Points During,pts D
Points After,pts A
Position,posn
Post Office,PO
Pound,lb
Pounder,pr
Practical,prac
Practically,prac
practice,prac
practiced,prac
Precision Guided Munition,PGM
Preliminary,prelim
Preparatory Bombardment,PB
Prepare,prep
Prepared,prep
Preparation,prep
Preparatory,prep
Pre-Induction Training,PIT
President’s Bodyguard,PBG
Priority,pri
Prisoner of War,PW
Private,pte
Privilege Leave,P/L
Pro Active Operations,PAO
Pakistan Army Order,PAO
Programme,Programmer
Programmed,Programmer
Programming,Programmer
progm,Programmer
Project,proj
Projected,proj
Projectile,proj
Projector,proj
Promote,prom
Promoted,prom
Promotion,prom
Provision,provn
Provost,pro
Psychological Warfare,psy W
Public,pub
Publication,pub
Publicity,pub
Publish,pub
Published,pub
Public Relations Officer,PRO
Public Relations,PR
Publish,pub
Published,pub
Public,pub
Publication,pub
Publicity,pub
Pull Up Point,PUP
Pick Up Point,PUP
Punjab Regiment’s battalion,Punjab
e.g. 6 Punjab,Punjab
Put Up,PU
Put Up with Reference,PUR
Put Up with References,PUR
Qualification,qual
Qualified,qual
Quality,qual
Qualified Flying Instructor,QFI
Quantity,qty
Quarter,qtr
Quartering,qtg
Quarterly,qtly
Quartermaster General,Q
Quartering,Qtg
Quick Impact Project,QIP
Quid Pro Quo,QPQ
Quick Reaction Course,QRC
Quick Reaction Force,QRF
Quick Reaction Team,QRT
Quick Reconnaissance,QR
Quotation marks (in messages only),QUOTE UNQUOTE
Radar Controlled Gun,RCG
Radar/Radio Countermeasures,RCM
Radioactive,rad A
Radio Direction Finder,RDF
Radio Frequency,RF
Radiological Warfare,RW
Rivine Warfare,RW
Rotary Wing,RW
Radio Relay,RR
Ration Return,RR
Recoilless,RR
Rifle,Radio Telephony; Recruit Test
RT,Rads Per Hour
r/hr,Railhead
rl H,Railway
rly,Railway Station
RS,Range; Ranging
rg,Range Efficiency Test
RET,Rate of Advance
ROA,Rate of Fire
ROF,Ration
rat,Ration Allowance
RA,Ration Return; Radio Relay; Recoilless Rifle
RR,Rear Airfield Supply Organization
RASO,Receipt Voucher; Rendezvous
RV,Recoilless Rifle; Radio Relay; Ration
RR,Return
Recommendation,recom
Reconnaissance,recce
Reconnoitre,recce
Reconnoitred,recce
Recover,rec
Recovered,rec
Recovery,rec
Recruit,rect
Recruitment,rect
Recruiting,rect
Recruit Test,RT
Radio Telephony,RT
Refer, (red), (ence),ref
Refer, (red), (ence),s,ref
Refilling Point,RP
Regimental Police,RP
Regiment,regt
Regimental,regt
Regimental Aid Post,RAP
Regimental Centre,RC
Regimental Command Post,RCP
Regimental Headquarters,RHQ
Regimental Police,RP
Refilling Point,RP
Regional Air Command,RAC
Registered,regd
Registration,regn
Regular,reg
Regulate,reg
Regulated,reg
Regulation,reg
Reinforcement,rft
Reinforce,rft
Relative Height,RH
Rest House,RH
Release,rel
Released,rel
Relieve,rel
Relieved,rel
Release Point,rel P
Relieve,rel
Relieved,rel
Release,rel
Released,rel
Relinquished,relq
Remount,RV&FC
Rendezvous,RV
Receipt Voucher,RV
Reorganise,reorg
Reorganised,reorg
Reorganisation,reorg
Repeated,rptd
Replenishment,rpl
Replenish,rpl
Represent,rep
Represented,rep
Representative,rep
Require,req
Required,req
Requirement,req
Requisition,rqn
Research and Development,R&D
Reserve,res
Reserve,s,res
Reserve Supply Depot,RSD
Responsible,resp
Responsibility,resp
Rest House,RH
Relative Height,RH
Restricted,restd
Retired,retd
Return,RTU
Returned,RTU
Returned Stores Sub Depot,RSSD
Reversion,rvt
Revert,rvt
Reverted,rvt
Rifleman,rfn
Riflemen,rfn
Right,rt
Rigorous Imprisonment,RI
River,R
Riverine,R
Riviera (only used in conjunction with a name),R
Riverine Warfare,RW
Radiological Warfare,RW
Rotary Wing,RW
Road,rd
Round,rd
Road Opening Day,ROD
Road Head,rd H
Rocket,rkt
Rocket Launcher,RL
Rocket/Remotely Delivered Mine System,RDMS
Rotary Wing,RW
Radiological Warfare,RW
Riverine Warfare,RW
Round,rd
Road,rd
Rounds per gun (per minute),rpg (pm)
Rounds per mortar (per minute),rpmor (pm)
Routine Order,RO
Salvage,sal
Salvaged,sal
Save our Souls,SOS
Struck off Strength,SOS
Schedule,sch
School of Armour and Mechanised Warfare,SA&MW
School of Army Air Defence,SAAD
School of Artillery,S of A
School of Infantry and Tactics,SI&T
School of Military Intelligence,SMI
Search and Rescue,SAR
Second,sec
Section,sec
Sector,sec
Secondary,sdry
Section,sec
Second,sec
Sector,sec
Sector Operations Centre,SOC
Secretary,secy
Secretariat,sect
Sector,sec
Second,sec
Section,sec
Security Zone,SZ
Select,sel
Selected,sel
Selection,sel
Selection Board,SB
Self-Propelled,SP
Start Point,SP
Senior,snr
Sequence,seq
Sequential,seq
(ly),seq
Serial,ser
Seriously Ill List,SIL
Service,svc
Serviced,svc
Serviceable,svc
Service Dress,SD
Staff Duties,SD
Shelling Report,shelrep
Short-Range Air Defence System,SHORADS
Sick in Quarters,SIQ
Signal,sig
Signaler,sig
Signalman,sig
Signalmen,sig
Signal Centre,sigcen
Signal Despatch Service,SDS
Signal Intelligence Report,SINREP
Signal Training Centre,STC
Signals,sigs
Simulator,sml
Sind Regiment’s Battalion,Sind
Situation,sit
Situation Map,sitmap
Situation Report,sitrep
Small Arms,SA
Small Arms Ammunition,SAA
Smoke,smk
Soldier,sldr
Solution,soln
Southern Command,SC
Speak,spk
Special,spec
Specialist,spec
Special Despatch Rider,SDR
Special Investigation Branch,SIB
Standard Infantry Battalion,SIB
Special Pakistan Army Order,SPAO
Special Service Group,SSG
Squadron,sqn
Square,sq
Staff Duties,SD
Service Dress,SD
Standard,std
Standardise,std
Standardised,std
Standard Distribution List,SDL
Standard Infantry Battalion,SIB
Special Investigation Branch,SIB
Standing Operating Procedure,SOP
Standing Orders for War,SOW
Standing Signal Instructions,SSI
Start Line,SL
Start Point,SP
Self-Propelled,SP
Start Time,ST
Station,sta
Stationed,sta
Stationary,sta
Stationery,sty
Station Supply Depot,SSD
Statistics,stat
Statistical,stat
Stores Distribution Depot,SDD
Strategic,strat
Strategical,strat
Strategy,strat
Strategic Forces North,SFN
Strategic Forces South,SFS
Strategic Missile Group,SMG
Strategic Plans Division,SPD
Strategical Reconnaissance,strat R
Strategic Reserves,SR
Street,st
Strength,str
Strengthen,str
Strengthened,str
strong,str
Striking Force,SF
Struck off Duty,SOD
Struck off Ration Strength,SORS
Struck off Strength,SOS
Save our Souls,SOS
Sub-Machine Gun,SMG
Subject,subj
Subscription,subs
Substantive,subs
Summary Court Martial,SCM
Summary General Court Martial,SGCM
Summary of Evidence,S of E
Summer Collective Training,SCT
Super High Frequency,SHF
Superintendent,supdt
Supplementary Intelligence Report,supintrep
Supplied,sup
Supply,sup
Supply and Transport,S&T
Supply Point,sup P
Supply Replenishment Point,SRP
Support,sp
Supported,sp
Supporting,sp
Suppression of Enemy Air Defence,SEAD
Surface to Air Guided Weapons,SAGW
Surface to Air Missile,SAM
Surface to Surface Guided Weapons,SSGW
Surface to Surface Missile,SSM
Surface to Underwater Missile,SUM
Surgeon,surg
Surgery,surg
Surgical,surg
Surplus,sur
Surveillance,surv
Surveillance and Target Acquisition,SATA
Surveillance,SCR
Survey,svy
Switchboard,swbd
Synchronise,sync
synchronization,sync
Syndicate,syn
System,sys
Table of Organisation and Equipment,TO&E
Tactical,tac
Tactics,tac
Tactical Air Force,TAF
Tactical Air Support Centre,TASC
Tactical Control Radar,TCR
Tactical Exercise Without Troops,TEWT
Tactical Reconnaissance,tac R
Taken on Strength,TOS
Tank,tk
Target,tgt
Target Director Post,TDP
Task Force,TF
Technical,tech
(ly),Technician,tech
Technique,tech
Technology,tech
Technical Manual,TM
Tehsil,teh
Telecommunication,telcomm
Telegram,tg
Telegraph,tg
Telegraphic,tg
Telephone,tel
Telephone Conversation,telcon
Temperature,temp
Temporary,temp
Temporary Duty,TD
Tutorial Discussion,TD
Tentacle,tcl
Terminal Equipment Vehicle,TEV
Terrorist,T
That is,i.e.
Theatre Force Reserve,TFR
Time of Despatch,TOD
Time of Flight,TOF
Time of Receipt,TOR
Time of Origin,T of O
Time on Target (artillery),TOT
Time Over Target (air),TOT
Time Past a Point,TPP
Top Secret,topsec
Topographic,topo
Topographical,topo
Topography,topo
Toxic Incident Report,toxrep
Track,tr
Tracked,tr
Tradesman,tdn
Tradesmen,tdn
Traffic,tfc
Trafficability,tfc
Traffic Control,TC
Traffic Post,TP
Trailer,tlr
Training,trg
Transfer,tfr
Transfered,tfr
Transmission,tx
Transmit,tx
Transmitter,tx
Transmitted,tx
Transmitting,tx
Transport,tpt
Transported,tpt
Transportation,tn
Transporter,tptr
Treasury Receipt,TR
Troop,tp
Troops Carrying Vehicle,TCV
Truck,trk
Tutorial Discussion,TD
Temporary Duty,TD
Ultra High Frequency,UHF
Un Armed Combat,UAC
Unclassified,unclas
Under Command,UC
Under Consideration,UC
Under Carriage,UC
Under Reference,u/r
Underground,UG
Under mentioned,u/m
Unexploded Bomb,UXB
Unit Accountant,UA
Unit Repair Organization,URO
Unit Security Officer,USO
Unmanned Aerial Vehicle,UAV
Unpaid,UP
Vacancy,vac
Vanguard,V gd
Variable Time,VT
Vehicle,veh
Vehicle Kit List,VKL
Vehicle Marshalling Area,VMA
Vehicle Mechanic,VM
Vehicles per kilometre,vpkm
Vehicle Safe Lane,VSL
Vehicle Sub Depot,VSD
Vehicle Waiting Area,VWA
Velocity,vel
Venereal Disease,VD
Verbal Order,VO
Very High Frequency,VHF
Very Important Person,VIP
Very Very Important Person,VVIP
Veterinary,vet
Village,vill
Visibility,vis
Visible,vis
Visual,vis
Visualisation,vis
Visual Reconnaissance,VR
Vital Ground,VG
Volume,vol
Voluminous,vol
Vulnerable,vuln
Vulnerability,vuln
Vulnerable Area,VA
Vulnerable Point,VP
Wagon Line,WL
Warning,wng
War Wastage Rate,WWR
Warning Order,wng O
Watermanship Training,WMT
Water Point,WP
Water Proof,wpf
Water Tank,w/tk
Water Trailer,w/tlr
Weapon Training,WT
Wireless Telegraphy,WT
Weapons,wpn
Weight,wt
Welfare,wel
Well Above Average,WAA
Wheel,wh
Wheeled,wh
Wide Area Network,WAN
Winning Hearts and Minds,WHAM
Winter Collective Training,WCT
Wireless,wrls
Wireless Set,WS
Wireless Telegraphy,WT
Weapon Training,WT
With effect from,wef
With reference to,wrt
Withdraw,wdr
Withdrawn,wdr
Withdrawal,wdr
Workshop,wksp
Wounded in Action,WIA
Yard,yd
Year,yr
Yearly,yr
Young Officer,YO
Zone,Z
